"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HA","OD660_avg","HA BS","HA YEP",2.11055555555556,1.83573736008246,2.38537375102865,5.77e-05,"****","***"
"HA","OD660_avg","HA BS","HA YEP +TE",2.62833333333333,2.33900971498582,2.91765695168085,0,"****","***"
"HA","OD660_avg","HA YEP","HA YEP +TE",0.517777777777777,0.342336204260289,0.693219351295266,0.001,"***","***"
"HM","OD660_avg","HM BS","HM YEP",1.41766666666667,1.26440198015264,1.57093135318069,1.35e-05,"****","***"
"HM","OD660_avg","HM BS","HM YEP +TE",1.54722222222222,1.35244720645006,1.74199723799438,4.64e-05,"****","***"
"HM","OD660_avg","HM YEP","HM YEP +TE",0.129555555555555,-0.06690397533647,0.326015086447581,0.154,"ns","ns"
"HS","OD660_avg","HS BS","HS YEP",1.21833333333333,1.07235317341406,1.36431349325261,3.12e-05,"****","***"
"HS","OD660_avg","HS BS","HS YEP +TE",1.34777777777778,1.23303659221564,1.46251896333992,1.58e-06,"****","***"
"HS","OD660_avg","HS YEP","HS YEP +TE",0.129444444444444,-0.0174637091682075,0.276352598057096,0.072,"ns","ns"
