"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HS","OD660_avg","HS RS +AA","HS RS +AA +Glucose",-0.0926666666666667,-0.603630202092179,0.418296868758846,0.767,"ns","ns"
"HS","OD660_avg","HS RS +AA","HS RS +AA +Glycerol",0.0592222222222223,-0.122906777836949,0.241351222281394,0.596,"ns","ns"
"HS","OD660_avg","HS RS +AA","HS RS +AA +Glucose +Glycerol",0.153444444444444,-0.115496298817683,0.422385187706572,0.211,"ns","ns"
"HS","OD660_avg","HS RS +AA +Glucose","HS RS +AA +Glycerol",0.151888888888889,-0.364919560025041,0.668697337802819,0.492,"ns","ns"
"HS","OD660_avg","HS RS +AA +Glucose","HS RS +AA +Glucose +Glycerol",0.246111111111111,-0.219459814571717,0.711682036793939,0.239,"ns","ns"
"HS","OD660_avg","HS RS +AA +Glycerol","HS RS +AA +Glucose +Glycerol",0.0942222222222222,-0.175922650415475,0.364367094859919,0.49,"ns","ns"
