"Strain",".y.","group1","group2","estimate","conf.low","conf.high","p.adj","p.adj.signif","Significance"
"HA","OD660_avg","HA BS","HA YEP",1.54266666666667,1.19049818955446,1.89483514377888,0.002,"**","**"
"HA","OD660_avg","HA BS","HA YEP +TE",2.68244444444444,2.58102761744848,2.78386127144041,0,"****","***"
"HA","OD660_avg","HA YEP","HA YEP +TE",1.13977777777778,0.751331278344906,1.52822427721065,0.006,"**","**"
"HM","OD660_avg","HM BS","HM YEP",1.16466666666667,0.941514508567431,1.3878188247659,0.000792,"***","***"
"HM","OD660_avg","HM BS","HM YEP +TE",1.57877777777778,1.27862564195334,1.87892991360222,0.000808,"***","***"
"HM","OD660_avg","HM YEP","HM YEP +TE",0.414111111111111,0.156297236660042,0.67192498556218,0.011,"*","*"
"HS","OD660_avg","HS BS","HS YEP",1.27333333333333,1.1493931152198,1.39727355144687,0,"****","***"
"HS","OD660_avg","HS BS","HS YEP +TE",1.57922222222222,1.3258144368208,1.83263000762364,0.000281,"***","***"
"HS","OD660_avg","HS YEP","HS YEP +TE",0.305888888888889,0.0737836041862197,0.537994173591558,0.024,"*","*"
